"Candidat", "Dépenses totales", "Recettes totales", "Dons", "Apports partis", "Concours en nature", "Autres", "Apports personnel", "Soldes compte de campagne", "Dév (1)", "RFE (2)", "Déc. CNCCFP", "Circoncription", "Plafond de dépenses", "Remboursement maximum"
"M. CLEREMBAUX Daniel","29","29","0","15","14","0","0","0","0","0","A","Haute-Vienne - 1","59 632 €","29 817 €"
"Mme DEMAISON Martine","0","0","0","0","0","0","0","0","0","0","A","Haute-Vienne - 1","59 632 €","29 817 €"
"M. DUFOUR Bernard","502","1 750","0","1 750","0","0","0","1 248","1 248","0","A","Haute-Vienne - 1","59 632 €","29 817 €"
"Mlle DUMON Catherine","396","396","0","388","8","0","0","0","0","0","A","Haute-Vienne - 1","59 632 €","29 817 €"
"M. JAUBERTY Yoann","0","0","0","0","0","0","0","0","0","0","A","Haute-Vienne - 1","59 632 €","29 817 €"
"M. MARSAUD Alain","44 987","44 987","500","16 323","0","0","28 164","0","0","28 164","A","Haute-Vienne - 1","59 632 €","29 817 €"
"M. SERVANT Magalie","24 199","28 950","0","0","0","0","28 950","4 751","0","0","A","Haute-Vienne - 1","59 632 €","29 817 €"
"M. ALLARD Pierre","24 764","24 764","7 091","0","432","0","17 241","0","0","17 241","A","Haute-Vienne - 2","60 339 €","30 170 €"
"Mme BARTHELEMY Aline","485","485","0","474","8","0","3","0","0","0","A","Haute-Vienne - 2","60 339 €","30 170 €"
"M. BELIN Christophe","3 080","3 080","0","3 080","0","0","0","0","0","0","A","Haute-Vienne - 2","60 339 €","30 170 €"
"M. DORANGE Alain","903","903","0","227","100","0","576","0","0","0","A","Haute-Vienne - 2","60 339 €","30 170 €"
"Mme GUERRY Catherine","29","29","0","15","14","0","0","0","0","0","A","Haute-Vienne - 2","60 339 €","30 170 €"
"Mme GUILHEM Evelyne","54 359","54 931","7 745","12 700","400","0","34 086","572","0","0","R","Haute-Vienne - 2","60 339 €","30 170 €"
"Mme PUYJALON Liliane","0","0","0","0","0","0","0","0","0","0","A","Haute-Vienne - 2","60 339 €","30 170 €"
"M. SIMIER Christian","0","0","0","0","0","0","0","0","0","0","A","Haute-Vienne - 2","60 339 €","30 170 €"
"M. THIBIVILLIERS Frédéric","0","0","0","0","0","0","0","0","0","0","A","Haute-Vienne - 2","60 339 €","30 170 €"
"M. TILLET David","0","0","0","0","0","0","0","0","0","0","A","Haute-Vienne - 2","60 339 €","30 170 €"
"Mme DACCORD Nicole","10 834","10 834","0","0","0","0","10 834","0","0","0","A","Haute-Vienne - 3","60 344 €","30 172 €"
"M. DESENFANT Raymond","0","0","0","0","0","0","0","0","0","0","A","Haute-Vienne - 3","60 344 €","30 172 €"
"Mme EL HAROUAT Driffa","3 080","3 080","0","3 080","0","0","0","0","0","0","A","Haute-Vienne - 3","60 344 €","30 172 €"
"Ghilaine","660","660","0","216","100","0","344","0","0","0","A","Haute-Vienne - 3","60 344 €","30 172 €"
"M. MOURNETAS Daniel","416","416","0","406","10","0","0","0","0","0","A","Haute-Vienne - 3","60 344 €","30 172 €"
"francoise","23 571","23 681","100","1 826","1 155","0","20 600","110","0","20 490","A","Haute-Vienne - 3","60 344 €","30 172 €"
"Mme PERSANT Sylvie","0","0","0","0","0","0","0","0","0","0","A","Haute-Vienne - 3","60 344 €","30 172 €"
"M. POUYET Jean","29","29","0","15","14","0","0","0","0","0","A","Haute-Vienne - 3","60 344 €","30 172 €"
"Mme RIVET Nadine","8 627","8 730","30","0","0","0","8 700","103","0","8 597","A","Haute-Vienne - 3","60 344 €","30 172 €"
"M. TAYANNE Bernard","0","0","0","0","0","0","0","0","0","0","A","Haute-Vienne - 3","60 344 €","30 172 €"
"M. VILLEGER Thierry","2 280","3 196","0","0","0","0","3 196","916","0","0","R","Haute-Vienne - 3","60 344 €","30 172 €"
"M. ALAS Jacques","0","0","0","0","0","0","0","0","0","0","A","Haute-Vienne - 4","61 684 €","30 842 €"
"M. CIVEYREL Francois","0","0","0","0","0","0","0","0","0","0","A","Haute-Vienne - 4","61 684 €","30 842 €"
"Mme GENTIL Sarah","28 297","29 211","200","10 858","0","0","18 153","914","0","0","R","Haute-Vienne - 4","61 684 €","30 842 €"
"M. GUIEAU Yves","15 400","15 400","0","0","0","0","15 400","0","0","0","A","Haute-Vienne - 4","61 684 €","30 842 €"
"M. LAJAUMONT Stephane","29","29","0","15","14","0","0","0","0","0","A","Haute-Vienne - 4","61 684 €","30 842 €"
"Mme MARTIN Monique","0","0","0","0","0","0","0","0","0","0","A","Haute-Vienne - 4","61 684 €","30 842 €"
"Mme PENET Marie-Aimee","3 080","3 080","0","3 080","0","0","0","0","0","0","A","Haute-Vienne - 4","61 684 €","30 842 €"
"M. RODET Alain","21 517","21 567","0","1 824","1 829","0","17 914","50","0","17 864","A","Haute-Vienne - 4","61 684 €","30 842 €"
"Mlle ROUSSIE Claudine","530","530","0","514","16","0","0","0","0","0","A","Haute-Vienne - 4","61 684 €","30 842 €"
"Mme ABBOT Evelyne","260","260","0","257","3","0","0","0","0","0","A","Vosges - 1","63 398 €","31 700 €"
"M. AUBERT Claude","0","0","0","0","0","0","0","0","0","0","A","Vosges - 1","63 398 €","31 700 €"
"M. CORIZZI Pierre-André","69","69","0","0","0","0","69","0","0","0","A","Vosges - 1","63 398 €","31 700 €"
"M. FERRIER François","31 190","31 190","0","0","0","0","31 190","0","0","31 190","A","Vosges - 1","63 398 €","31 700 €"
"M. MASSON Daniel","0","0","0","0","0","0","0","0","0","0","A","Vosges - 1","63 398 €","31 700 €"
"M. MICHEL Francis","0","0","0","0","0","0","0","0","0","0","A","Vosges - 1","63 398 €","31 700 €"
"M. PECHEUR Raphaël","15","15","0","15","0","0","0","0","0","0","A","Vosges - 1","63 398 €","31 700 €"
"M. SCHULLER Gérard","0","0","0","0","0","0","0","0","0","0","A","Vosges - 1","63 398 €","31 700 €"
"M. BALU Jacques","304","304","0","304","0","0","0","0","0","0","A","Vosges - 2","62 131 €","31 066 €"
"Mme BITTERLIN Catherine","0","0","0","0","0","0","0","0","0","0","A","Vosges - 2","62 131 €","31 066 €"
"Mlle BLAISE Sandra","426","426","0","0","200","0","226","0","0","0","A","Vosges - 2","62 131 €","31 066 €"
"Mme CALAIS Catherine","15","15","0","15","0","0","0","0","0","0","A","Vosges - 2","62 131 €","31 066 €"
"M. DAVION Pascal","0","0","0","0","0","0","0","0","0","0","A","Vosges - 2","62 131 €","31 066 €"
"M. MANGIN Michel","0","0","0","0","0","0","0","0","0","0","A","Vosges - 2","62 131 €","31 066 €"
"Jacqueline","6 658","7 300","0","800","0","0","6 500","642","0","5 858","A","Vosges - 3","60 380 €","30 190 €"
"Mme COLSON Martine","0","0","0","0","0","0","0","0","0","0","A","Vosges - 3","60 380 €","30 190 €"
"M. DEFRANOULD Eric","15","15","0","15","0","0","0","0","0","0","A","Vosges - 3","60 380 €","30 190 €"
"M. FLECK Jean-François","818","818","0","332","0","0","486","0","0","0","A","Vosges - 3","60 380 €","30 190 €"
"çoise","288","288","0","285","3","0","0","0","0","0","A","Vosges - 3","60 380 €","30 190 €"
"Mme MOKRANE Ghislaine","0","0","0","0","0","0","0","0","0","0","A","Vosges - 3","60 380 €","30 190 €"
"M. MONSEAUX Lucien","0","0","0","0","0","0","0","0","0","0","A","Vosges - 3","60 380 €","30 190 €"
"M. POIROT Gilbert","4 047","4 047","415","0","0","0","3 632","0","0","3 632","A","Vosges - 3","60 380 €","30 190 €"
"M. BARBOT Géry","1 189","4 157","2 230","0","0","0","1 927","2 968","1 041","0","A","Vosges - 4","60 879 €","30 440 €"
"M. BAZIN Bernard","30 522","30 522","0","130","0","0","30 392","0","0","0","A","Vosges - 4","60 879 €","30 440 €"
"Mme BOUGARD Marie-Thérèse","0","0","0","0","0","0","0","0","0","0","A","Vosges - 4","60 879 €","30 440 €"
"M. BOURY Xavier","264","264","0","250","14","0","0","0","0","0","A","Vosges - 4","60 879 €","30 440 €"
"Mme CONTOIS Fabienne","0","0","0","0","0","0","0","0","0","0","A","Vosges - 4","60 879 €","30 440 €"
"M. FRANQUEVILLE Christian","21 428","21 428","10 793","0","0","0","10 635","0","0","10 635","A","Vosges - 4","60 879 €","30 440 €"
"M. LEBOUL Eric fabien","0","0","0","0","0","0","0","0","0","0","A","Vosges - 4","60 879 €","30 440 €"
"Mme BONTEMPS Marie-Jeanne","0","0","0","0","0","0","0","0","0","0","A","Yonne - 1","63 624 €","31 812 €"
"Anique","0","0","0","0","0","0","0","0","0","0","A","Yonne - 1","63 624 €","31 812 €"
"Mme DHOUKAR Chantal","3 257","3 257","960","238","0","0","2 059","0","0","0","A","Yonne - 1","63 624 €","31 812 €"
"M. HENRIAT Pascal","23 702","25 168","0","0","0","0","25 168","1 466","0","23 702","A","Yonne - 1","63 624 €","31 812 €"
"M. HOURNON Michel","576","576","0","576","0","0","0","0","0","0","A","Yonne - 1","63 624 €","31 812 €"
"M. JACOB Richard","31 057","31 200","0","0","0","0","31 200","143","0","31 057","A","Yonne - 1","63 624 €","31 812 €"
"Mlle LE CORRE Mireille","37 152","37 152","930","1 979","3 300","0","30 943","0","0","30 943","A","Yonne - 1","63 624 €","31 812 €"
"Mme PELLETIER Christine","641","641","0","584","57","0","0","0","0","0","A","Yonne - 1","63 624 €","31 812 €"
"Mme PICQ DEBELLE Brigitte","5 649","5 649","230","0","0","0","5 419","0","0","0","A","Yonne - 1","63 624 €","31 812 €"
"philippe","24 809","24 809","105","0","2 608","293","21 803","0","0","0","R","Yonne - 1","63 624 €","31 812 €"
"M. SOISSON Jean-Pierre","33 017","33 017","1 005","9 700","1 400","0","20 912","0","0","20 912","A","Yonne - 1","63 624 €","31 812 €"
"Mme VOILLOT Pascale","0","0","0","0","0","0","0","0","0","0","A","Yonne - 1","63 624 €","31 812 €"
"M. CAULLET Jean-Yves","36 869","36 869","5 420","1 534","1 808","0","28 107","0","0","28 107","A","Yonne - 2","62 668 €","31 334 €"
"M. DESANTI Jacqueline","125","125","0","125","0","0","0","0","0","0","A","Yonne - 2","62 668 €","31 334 €"
"M. GAUDIAU Armand","301","301","0","291","10","0","0","0","0","0","A","Yonne - 2","62 668 €","31 334 €"
"Mme HYNEK Judith","0","0","0","0","0","0","0","0","0","0","A","Yonne - 2","62 668 €","31 334 €"
"M. KOTOUJANSKY Jacques","1 350","5 801","0","0","0","0","5 801","4 451","0","0","A","Yonne - 2","62 668 €","31 334 €"
"Mme MANSARD Marie-Solange","24 473","24 852","0","0","52","0","24 800","379","0","24 421","A","Yonne - 2","62 668 €","31 334 €"
"M. PESQUET Bernard","3 467","3 467","40","374","0","0","3 053","0","0","0","A","Yonne - 2","62 668 €","31 334 €"
"Mme PETAS Françoise","0","0","0","0","0","0","0","0","0","0","A","Yonne - 2","62 668 €","31 334 €"
"M. BEN ALI Christophe","292","300","0","300","0","0","0","8","8","0","A","Yonne - 3","67 208 €","33 604 €"
"M. BOUCHIER Alexandre","23 728","23 728","3 530","0","0","0","20 198","0","0","20 198","A","Yonne - 3","67 208 €","33 604 €"
"M. COURTIN Serge","0","0","0","0","0","0","0","0","0","0","A","Yonne - 3","67 208 €","33 604 €"
"M. FEVRE Claude","0","0","0","0","0","0","0","0","0","0","A","Yonne - 3","67 208 €","33 604 €"
"Mme FORT Marie-Louise","36 585","36 585","8 573","9 700","0","0","18 312","0","0","18 312","A","Yonne - 3","67 208 €","33 604 €"
"M. GIRAULT Jean-Luc","2 264","2 264","20","256","0","0","1 988","0","0","0","A","Yonne - 3","67 208 €","33 604 €"
"Mme KERMIN Annie","155","155","70","0","0","0","85","0","0","0","A","Yonne - 3","67 208 €","33 604 €"
"M. LAGARDETTE François","0","0","0","0","0","0","0","0","0","0","A","Yonne - 3","67 208 €","33 604 €"
"Mme PUGET Jocelyne","277","277","0","260","17","0","0","0","0","0","A","Yonne - 3","67 208 €","33 604 €"
"M. VEY Daniel","190","190","0","145","0","0","45","0","0","0","A","Yonne - 3","67 208 €","33 604 €"
"Mme ADALLA Elisabeth","85","94","50","15","29","0","0","9","9","0","A","Territoire-de-Belfort - 1","56 714 €","28 358 €"
"France","1 798","1 798","0","0","0","0","1 798","0","0","0","A","Territoire-de-Belfort - 1","56 714 €","28 358 €"
"M. DEVILLERS Christophe","316","316","260","0","0","0","56","0","0","0","A","Territoire-de-Belfort - 1","56 714 €","28 358 €"
"M. FREYBURGER Philippe","0","0","0","0","0","0","0","0","0","0","A","Territoire-de-Belfort - 1","56 714 €","28 358 €"
"M. GRUDLER Christophe","18 499","18 499","5 520","0","0","0","12 979","0","0","12 979","A","Territoire-de-Belfort - 1","56 714 €","28 358 €"
"M. LOUNES Mustapha","0","0","0","0","0","0","0","0","0","0","A","Territoire-de-Belfort - 1","56 714 €","28 358 €"
"M. MESLOT Damien","46 474","46 474","10 685","13 299","1 412","0","21 078","0","0","21 078","A","Territoire-de-Belfort - 1","56 714 €","28 358 €"
"Anny","981","981","0","100","0","0","881","0","0","0","A","Territoire-de-Belfort - 1","56 714 €","28 358 €"
"M. MORO Philippe","0","0","0","0","0","0","0","0","0","0","A","Territoire-de-Belfort - 1","56 714 €","28 358 €"
"Mme PETITOT Christiane","535","535","0","469","66","0","0","0","0","0","A","Territoire-de-Belfort - 1","56 714 €","28 358 €"
"M. RICHARD Pascal","0","0","0","0","0","0","0","0","0","0","A","Territoire-de-Belfort - 1","56 714 €","28 358 €"
"M. SENNERICH Robert","24 506","27 500","0","0","0","0","27 500","2 994","0","0","A","Territoire-de-Belfort - 1","56 714 €","28 358 €"
"M. ASTORGA Sébastien","23 030","31 045","0","482","510","0","30 053","8 015","0","0","A","Territoire-de-Belfort - 2","57 287 €","28 644 €"
"M. CHEVALIER Bertrand","1 734","1 734","0","0","0","0","1 734","0","0","0","A","Territoire-de-Belfort - 2","57 287 €","28 644 €"
"M. CHEVÉNEMENT Jean-Pierre","32 059","32 059","872","4 000","0","0","27 187","0","0","27 187","A","Territoire-de-Belfort - 2","57 287 €","28 644 €"
"M. DREYFUS-SCHMIDT Alain","3 597","3 600","3 600","0","0","0","0","3","3","0","A","Territoire-de-Belfort - 2","57 287 €","28 644 €"
"M. FORET Jacques","0","0","0","0","0","0","0","0","0","0","A","Territoire-de-Belfort - 2","57 287 €","28 644 €"
"Mme LUTZ Catherine","0","0","0","0","0","0","0","0","0","0","A","Territoire-de-Belfort - 2","57 287 €","28 644 €"
"M. MEYER Jacques","55","55","0","0","0","0","55","0","0","0","A","Territoire-de-Belfort - 2","57 287 €","28 644 €"
"Mme ORIEZ Valérie","0","0","0","0","0","0","0","0","0","0","A","Territoire-de-Belfort - 2","57 287 €","28 644 €"
"M. PHEULPIN Jean-Marie","515","515","0","443","72","0","0","0","0","0","A","Territoire-de-Belfort - 2","57 287 €","28 644 €"
"Mme SCHOTT Sylvianne","23 928","27 500","0","0","0","0","27 500","3 572","0","23 928","A","Territoire-de-Belfort - 2","57 287 €","28 644 €"
"M. SIRON Jean","1 157","1 157","20","137","0","0","1 000","0","0","0","A","Territoire-de-Belfort - 2","57 287 €","28 644 €"
"Mme WELFELÉ Marie-Christine","91","94","0","15","29","0","50","3","0","0","A","Territoire-de-Belfort - 2","57 287 €","28 644 €"
"M. BOURGES Frédéric","9 703","9 703","1 895","513","0","0","7 295","0","0","0","A","Essonne - 1","66 777 €","33 389 €"
"M. BROSSOLLET Guillaume","0","0","0","0","0","0","0","0","0","0","A","Essonne - 1","66 777 €","33 389 €"
"M. CAMONIN Jean","541","541","0","513","28","0","0","0","0","0","A","Essonne - 1","66 777 €","33 389 €"
"M. COUVIDAT Francis","778","778","0","778","0","0","0","0","0","0","A","Essonne - 1","66 777 €","33 389 €"
"Mme DANQUIGNY Christine","0","0","0","0","0","0","0","0","0","0","A","Essonne - 1","66 777 €","33 389 €"
"Mme FATNA Huguette","26 575","26 775","0","0","0","0","26 775","200","0","0","A","Essonne - 1","66 777 €","33 389 €"
"M. GOMIS Simon","0","0","0","0","0","0","0","0","0","0","A","Essonne - 1","66 777 €","33 389 €"
"Mme LAMISCARRE Bernadette","0","0","0","0","0","0","0","0","0","0","A","Essonne - 1","66 777 €","33 389 €"
"M. NJIE Abou","0","0","0","0","0","0","0","0","0","0","A","Essonne - 1","66 777 €","33 389 €"
"M. PERARD Hervé","2 951","3 251","0","2 951","0","0","300","300","0","0","A","Essonne - 1","66 777 €","33 389 €"
"M. SAADI Mourad- khier","0","0","0","0","0","0","0","0","0","0","A","Essonne - 1","66 777 €","33 389 €"
"Mme AUFFRET DEME Laurence","10 841","10 841","50","587","0","0","10 204","0","0","0","A","Essonne - 2","65 115 €","32 558 €"
"M. BATHENDIER Serge","2 394","2 400","850","1 350","0","0","200","6","0","0","A","Essonne - 2","65 115 €","32 558 €"
"M. CASTELLO Frédéric","524","524","0","496","28","0","0","0","0","0","A","Essonne - 2","65 115 €","32 558 €"
"M. CLARET Philippe","250","250","250","0","0","0","0","0","0","0","A","Essonne - 2","65 115 €","32 558 €"
"Mme DONZAUD Corinne","56","56","0","56","0","0","0","0","0","0","A","Essonne - 2","65 115 €","32 558 €"
"M. GUÉRINEL Jean-Pierre","0","0","0","0","0","0","0","0","0","0","A","Essonne - 2","65 115 €","32 558 €"
"M. GUIOMAR Xavier","714","714","0","714","0","0","0","0","0","0","A","Essonne - 2","65 115 €","32 558 €"
"Mme LABARRE Marie-Agnès","22 971","22 971","300","900","730","0","21 041","0","0","21 041","A","Essonne - 2","65 115 €","32 558 €"
"M. MARLIN Franck","46 891","50 168","160","19 700","18","0","30 290","3 277","0","27 013","A","Essonne - 2","65 115 €","32 558 €"
"Mme SAKOSCHEK Michèle","27 644","27 844","0","0","0","0","27 844","200","0","0","A","Essonne - 2","65 115 €","32 558 €"
"Mme TERRES Béatrice","14 375","14 375","0","0","0","0","14 375","0","0","14 375","A","Essonne - 2","65 115 €","32 558 €"
"Mme VINCETTI Élisabeth","0","0","0","0","0","0","0","0","0","0","A","Essonne - 2","65 115 €","32 558 €"
"M. ZONTA Éric","0","0","0","0","0","0","0","0","0","0","A","Essonne - 2","65 115 €","32 558 €"
"Mme BONZANI Laurence","1 168","1 168","0","1 168","0","0","0","0","0","0","A","Essonne - 3","68 069 €","34 035 €"
"M. CAMO Philippe","7 548","7 548","702","0","0","0","6 846","0","0","0","A","Essonne - 3","68 069 €","34 035 €"
"M. CULLUS Michel","0","0","0","0","0","0","0","0","0","0","A","Essonne - 3","68 069 €","34 035 €"
"Mme DEPARPE Christelle","56","56","0","56","0","0","0","0","0","0","A","Essonne - 3","68 069 €","34 035 €"
"Mme DORDAIN Brigitte","29 787","29 982","0","0","0","0","29 982","195","0","0","A","Essonne - 3","68 069 €","34 035 €"
"Mme LOPES Joëlle","577","577","0","577","0","0","0","0","0","0","A","Essonne - 3","68 069 €","34 035 €"
"Mme PHILLIPS Marie-Christine","0","0","0","0","0","0","0","0","0","0","A","Essonne - 3","68 069 €","34 035 €"
"Mme SAMAIN Danièle","0","0","0","0","0","0","0","0","0","0","A","Essonne - 3","68 069 €","34 035 €"
"Mme ZINS Brigitte","34 159","34 159","4 695","900","405","0","28 159","0","0","28 159","A","Essonne - 3","68 069 €","34 035 €"
"M. BEN HIBA Tarek","234","1 380","1 380","0","0","0","0","1 146","1 146","0","A","Essonne - 4","65 693 €","32 847 €"
"M. ECHEVIN Philippe","0","0","0","0","0","0","0","0","0","0","A","Essonne - 4","65 693 €","32 847 €"
"M. GAMACHE Patrick","405","405","276","0","0","0","129","0","0","0","A","Essonne - 4","65 693 €","32 847 €"
"M. KEHL Cyrille","26 254","26 454","0","0","0","0","26 454","200","0","0","A","Essonne - 4","65 693 €","32 847 €"
"M. LACOMBE Alex","0","0","0","0","0","0","0","0","0","0","A","Essonne - 4","65 693 €","32 847 €"
"Mme LE PEUTREC Monique","2 764","2 840","2 840","0","0","0","0","76","76","0","A","Essonne - 4","65 693 €","32 847 €"
"M. LEBRETON Olivier","484","484","0","484","0","0","0","0","0","0","A","Essonne - 4","65 693 €","32 847 €"
"Mme LOEBER Michèle","1 746","1 746","70","1 676","0","0","0","0","0","0","A","Essonne - 4","65 693 €","32 847 €"
"M. ORIENT Regis","0","0","0","0","0","0","0","0","0","0","A","Essonne - 4","65 693 €","32 847 €"
"Mme THELLIER Isabelle","0","0","0","0","0","0","0","0","0","0","A","Essonne - 4","65 693 €","32 847 €"
"M. VEYSSET Alain","0","0","0","0","0","0","0","0","0","0","A","Essonne - 4","65 693 €","32 847 €"
"M. WACH Patrice","65","65","0","56","9","0","0","0","0","0","A","Essonne - 4","65 693 €","32 847 €"
"M. CATRICE Olivier","332","332","332","0","0","0","0","0","0","0","A","Essonne - 5","62 496 €","31 249 €"
"M. DEBIEN Thierry","0","0","0","0","0","0","0","0","0","0","A","Essonne - 5","62 496 €","31 249 €"
"M. DHERSIN Patrick","0","0","0","0","0","0","0","0","0","0","A","Essonne - 5","62 496 €","31 249 €"
"M. GARCIN Raphaël","0","0","0","0","0","0","0","0","0","0","A","Essonne - 5","62 496 €","31 249 €"
"M. LEMAIRE Pierre","11 600","11 800","0","0","0","0","11 800","200","0","0","A","Essonne - 5","62 496 €","31 249 €"
"M. LORIDANT Paul","11 112","11 620","8 820","0","0","0","2 800","508","0","2 292","A","Essonne - 5","62 496 €","31 249 €"
"Mme OLIVIER Maud","35 490","35 490","12 168","800","740","0","21 782","0","0","21 782","A","Essonne - 5","62 496 €","31 249 €"
"M. PAXION Didier","489","489","0","488","0","0","1","0","0","0","A","Essonne - 5","62 496 €","31 249 €"
"Mme PÉRINET Joëlle","1 808","2 332","2 332","0","0","0","0","524","524","0","A","Essonne - 5","62 496 €","31 249 €"
"Mme WITHAKER Béatrice","56","56","0","56","0","0","0","0","0","0","A","Essonne - 5","62 496 €","31 249 €"
"Mme BOURHIS Claudine","1 181","1 181","0","1 149","30","0","2","0","0","0","A","Essonne - 6","64 233 €","32 117 €"
"Mme CARANTOIS Véronique","55 931","55 931","12 955","14 700","235","0","28 041","0","0","28 041","A","Essonne - 6","64 233 €","32 117 €"
"M. GUICHARD Serge","8 356","8 356","2 850","753","0","0","4 753","0","0","0","A","Essonne - 6","64 233 €","32 117 €"
"M. JACQUEMIN Jean-Michel","0","0","0","0","0","0","0","0","0","0","A","Essonne - 6","64 233 €","32 117 €"
"M. LAMY François","55 742","55 742","13 323","800","7 430","0","34 189","0","0","32 117","A","Essonne - 6","64 233 €","32 117 €"
"M. LAURETTI Louis","0","0","0","0","0","0","0","0","0","0","A","Essonne - 6","64 233 €","32 117 €"
"Mme LIRONCOURT Sylvie","415","415","0","415","0","0","0","0","0","0","A","Essonne - 6","64 233 €","32 117 €"
"Mme MET Jacqueline","26 041","26 241","0","0","0","0","26 241","200","0","0","A","Essonne - 6","64 233 €","32 117 €"
"M. MORGANTINI Cédric","16 501","16 501","60","0","0","0","16 441","0","0","16 441","A","Essonne - 6","64 233 €","32 117 €"
"Mme NICOISE Marie","0","0","0","0","0","0","0","0","0","0","A","Essonne - 6","64 233 €","32 117 €"
"M. AURIAT Thierry","0","0","0","0","0","0","0","0","0","0","A","Essonne - 7","65 207 €","32 604 €"
"M. AZZALIN Giovanni","515","515","0","515","0","0","0","0","0","0","A","Essonne - 7","65 207 €","32 604 €"
"Mme DAMME-JIMENEZ Evelyne","1 052","1 152","0","997","55","0","100","100","0","0","A","Essonne - 7","65 207 €","32 604 €"
"Mme DARDARE Isabelle","0","0","0","0","0","0","0","0","0","0","A","Essonne - 7","65 207 €","32 604 €"
"M. DORDAIN François-Xavier","26 682","26 882","0","0","0","0","26 882","200","0","0","A","Essonne - 7","65 207 €","32 604 €"
"Catherine","18 709","18 709","250","0","0","0","18 459","0","0","18 459","A","Essonne - 7","65 207 €","32 604 €"
"M. LOPES Michel","56","56","0","56","0","0","0","0","0","0","A","Essonne - 7","65 207 €","32 604 €"
"M. MARSAUDON Jean","36 074","47 697","5 231","7 700","4 766","0","30 000","11 623","0","18 377","A","Essonne - 7","65 207 €","32 604 €"
"Mme MATHIEU Simone","39 598","39 600","2 551","1 480","569","0","35 000","2","0","32 604","A","Essonne - 7","65 207 €","32 604 €"
"M. MIGNON Patrick","0","0","0","0","0","0","0","0","0","0","A","Essonne - 7","65 207 €","32 604 €"
"Mme PLOTTU Michèle","9 188","9 205","205","0","0","0","9 000","17","0","0","A","Essonne - 7","65 207 €","32 604 €"
"M. THOMAS Didier","0","0","0","0","0","0","0","0","0","0","A","Essonne - 7","65 207 €","32 604 €"
"Mme DEGRAVE Ghislaine","1 642","1 713","270","1 443","0","0","0","71","71","0","A","Essonne - 8","63 741 €","31 871 €"
"M. DUPONT AIGNAN Nicolas","42 413","42 415","21 809","0","6 615","0","13 991","2","0","13 989","A","Essonne - 8","63 741 €","31 871 €"
"Mme LEBORGNE Monique","539","539","0","511","28","0","0","0","0","0","A","Essonne - 8","63 741 €","31 871 €"
"Mme MALIVERT Monique","0","0","0","0","0","0","0","0","0","0","A","Essonne - 8","63 741 €","31 871 €"
"M. SAINT CERIN Michel","25 116","25 116","0","0","0","0","25 116","0","0","0","A","Essonne - 8","63 741 €","31 871 €"
"Mme SELVA Jocelyne","581","581","0","0","0","0","581","0","0","0","A","Essonne - 8","63 741 €","31 871 €"
"M. ULRICI Yens","91","91","0","56","35","0","0","0","0","0","A","Essonne - 8","63 741 €","31 871 €"
"M. BONNARD Jérôme","56","56","0","56","0","0","0","0","0","0","A","Essonne - 9","64 331 €","32 166 €"
"M. DELAFRAYE Olivier","0","0","0","0","0","0","0","0","0","0","A","Essonne - 9","64 331 €","32 166 €"
"M. GRUBER Michel","1 197","1 197","150","947","0","0","100","0","0","0","A","Essonne - 9","64 331 €","32 166 €"
"M. HENNI Amar","5 599","5 599","1 215","0","0","0","4 384","0","0","0","A","Essonne - 9","64 331 €","32 166 €"
"M. JO Roland","563","563","0","535","28","0","0","0","0","0","A","Essonne - 9","64 331 €","32 166 €"
"Mme LANTZ Danielle","0","0","0","0","0","0","0","0","0","0","A","Essonne - 9","64 331 €","32 166 €"
"Mme RESSICAUD Liliane","24 145","24 300","0","0","0","0","24 300","155","0","0","A","Essonne - 9","64 331 €","32 166 €"
"M. STEENS Philippe","0","0","0","0","0","0","0","0","0","0","A","Essonne - 9","64 331 €","32 166 €"
"M. TRON Georges","35 575","35 575","15 200","9 700","1 205","0","9 470","0","0","9 470","A","Essonne - 9","64 331 €","32 166 €"
"M. BARDON Patrick","24 239","24 239","7 577","0","0","0","16 662","0","0","16 662","A","Essonne - 10","63 500 €","31 750 €"
"M. CIUTI Patrice","490","490","0","486","4","0","0","0","0","0","A","Essonne - 10","63 500 €","31 750 €"
"M. CUSA Miron","0","0","0","0","0","0","0","0","0","0","A","Essonne - 10","63 500 €","31 750 €"
"M. DEDJI Noël","0","0","0","0","0","0","0","0","0","0","A","Essonne - 10","63 500 €","31 750 €"
"Mme DIA Michèle","56","56","0","56","0","0","0","0","0","0","A","Essonne - 10","63 500 €","31 750 €"
"Mme KHOBEIZI Fatima","0","0","0","0","0","0","0","0","0","0","A","Essonne - 10","63 500 €","31 750 €"
"M. POULLET Clément","275","275","115","0","0","0","160","0","0","0","A","Essonne - 10","63 500 €","31 750 €"
"Mme RAMAGE Danielle","0","0","0","0","0","0","0","0","0","0","A","Essonne - 10","63 500 €","31 750 €"
"M. ROUTIN Roger","0","0","0","0","0","0","0","0","0","0","A","Essonne - 10","63 500 €","31 750 €"
"Mme THIRIET Amandine","1 092","1 142","0","1 042","0","0","100","50","0","0","A","Essonne - 10","63 500 €","31 750 €"
"M. BINDER Sylvain","0","0","0","0","0","0","0","0","0","0","A","Hauts-de-Seine - 1","64 999 €","32 500 €"
"M. BRETON Michel","503","503","0","489","14","0","0","0","0","0","A","Hauts-de-Seine - 1","64 999 €","32 500 €"
