"candidat","depensestotales","recettestotales","dons","appartspartis","concoursnature","autres","perso","soldescompte","DEV","RFE","DECCNCCFP"
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,"631"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Vendée - 1</i>","<i>Département : Vendée </i>",,"<i>er</i>",,,,,
"Plafond de dépenses : 64 664","€",,,,,,,,,,
"Remboursement maximum : 32 332",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mme BOTTON Nathalie","0","0","0","0","0","0","0","0","0","0","A"
"Mme CEREIJO Patricia","29 910
29 618","29 910
29 618","2 552
2 552","900
900","0
0","0
0","26 458
26 166","0
0","0","26 166","AR"
"M. CHARRIER Jacques","0","0","0","0","0","0","0","0","0","0","A"
"Mlle GIL Mayi","15","15","0","15","0","0","0","0","0","0","A"
"M. LEBOEUF Alain","33 081","33 081","4 085","0","0","0","28 996","0","0","28 996","A"
"Mme MOREAU Corinne","4 618","4 618","595","4 023","0","0","0","0","0","0","A"
"Mme NEVEUX Brigitte","17 198
17 170","17 600
17 572","0
0","0
0","0
0","0
0","17 600
17 572","402
402","0","0","AR"
"M. PRÉEL Jean-Luc","38 644
37 962","38 644
37 962","505
505","0
0","5 945
5 945","0
0","32 194
31 512","0
0","0","31 512","AR"
"M. ROBIN Gilles","299","299","0","278","21","0","0","0","0","0","A"
"Mme SORIN Jacqueline",,,,,,,,,"0","0","AD"
"Mme VALIN Anne","2 566","2 566","0","2 566","0","0","0","0","0","0","A"
"Mme VIOLLEAU Marie made-",,,,,,,,,,,
"leine","0","0","0","0","0","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"632","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Vendée - 2</i>","<i>Département : Vendée </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 63 480","€",,,,,,,,,,
"Remboursement maximum : 31 740",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. BOINIER Robert","117","117","92","0","0","0","25","0","0","0","A"
"Mme BULTEAU Sylviane","26 828","26 828","1 905","900","0","0","24 023","0","0","24 023","A"
"M. CAILLAUD Dominique","33 526
33 095","33 526
33 095","5 135
5 135","9 700
9 700","1 150
1 150","1 069
1 069","16 472
16 041","0
0","0","16 041","AR"
"M. GENET Maurice","0","0","0","0","0","0","0","0","0","0","A"
"M. GUINOT Stéphane","0","0","0","0","0","0","0","0","0","0","R"
"M. HELARY Yann","3 344","3 344","0","3 344","0","0","0","0","0","0","A"
"M. KOUSKOFF Georges","19 904
19 700","19 904
19 700","0
0","0
0","0
0","0
0","19 904
19 700","0
0","0","0","AR"
"M. LAGLEIZE François","4 907","4 907","640","4 267","0","0","0","0","0","0","A"
"Mme LOCTEAU Erika","0","0","0","0","0","0","0","0","0","0","A"
"M. MESTRE Raoul","13 573","13 573","0","0","0","0","13 573","0","0","13 573","A"
"M. MORINIERE Jean-Pierre","0","0","0","0","0","0","0","0","0","0","A"
"M. RIOCHE Michel","0","0","0","0","0","0","0","0","0","0","A"
"Mme SAMSON Christine","281","281","0","260","21","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,"633"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DU 10 JUIN 2007",,"<i>Circoncription : Vendée - 3</i>","<i>Département : Vendée </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 65 185","€",,,,,,,,,,
"Remboursement maximum : 32 593",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. BAUD Jacques","27 273","27 273","3 128","900","0","0","23 245","0","0","23 245","A"
"Mme CHERET Danielle","0","0","0","0","0","0","0","0","0","0","A"
"M. D’AUDIFRET Olivier","21 645","21 645","0","0","1 160","0","20 485","0","0","0","A"
"M. DE CHANTERAC François",,,,,,,,,"0","0","AD"
"M. FOURE Philippe","0","0","0","0","0","0","0","0","0","0","A"
"M. GERBAUD Xavier","32 114
31 297","35 100
34 283","100
100","0
0","0
0","0
0","35 000
34 183","2 986
2 986","0","31 197","AR"
"Mme GILBERT Françoise","2 505","2 505","0","2 281","224","0","0","0","0","0","A"
"M. GUEDON Louis","34 414","34 414","0","9 700","8 435","0","16 279","0","0","16 279","A"
"M. MAROLLEAU Erick","0","0","0","0","0","0","0","0","0","0","A"
"Mme MARSAL Frédérique","3 252","3 252","1 725","1 482","0","0","45","0","0","0","A"
"M. PETITDIDIER Paul","0","0","0","0","0","0","0","0","0","0","A"
"M. THERIN Jean-Yves","307","307","0","286","21","0","0","0","0","0","A"
"Mme VOUZELLAUD Danièle","30 120","30 120","0","0","0","0","30 120","0","0","0","A"
"Mme VRAND Geneviève","1 332","1 332","0","1 332","0","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"634","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DU 10 JUIN 2007",,"<i>Circoncription : Vendée - 4</i>","<i>Département : Vendée </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 64 115","€",,,,,,,,,,
"Remboursement maximum : 32 058",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mme AURY Martine","0","0","0","0","0","0","0","0","0","0","A"
"Mlle BARBARIT Anita","0","0","0","0","0","0","0","0","0","0","A"
"Mlle BESSE Véronique","21 943","21 943","0","473","261","0","21 209","0","0","21 209","A"
"M. BOLTEAU Jean-François","18 202
17 119","18 202
17 119","125
125","900
900","0
0","0
0","17 177
16 094","0
0","0","16 094","AR"
"M. CHEVALLIER Jean-Claude","1 541","1 541","100","100","0","0","1 341","0","0","0","A"
"M. DIEULANGARD Jean-Marie","777","777","0","0","512","0","265","0","0","0","A"
"M. SCHWERDORFFER Arnold","10 437","10 437","0","0","0","0","10 437","0","0","10 437","A"
"M. STAMBOULI Michel","317","317","0","19","21","0","277","0","0","0","A"
"M. YOU Patrick","0","0","0","0","0","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,"635"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DU 10 JUIN 2007",,"<i>Circoncription : Vendée - 5</i>","<i>Département : Vendée </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 62 276","€",,,,,,,,,,
"Remboursement maximum : 31 139",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. BOUHIER Dominique","0","0","0","0","0","0","0","0","0","0","A"
"Mme BOUTET Claudette","17 656
17 553","17 656
17 553","450
450","900
900","0
0","0
0","16 306
16 203","0
0","0","16 203","AR"
"M. CHARREYRON Philippe","349","360","0","360","0","0","0","11","11","0","A"
"M. COIRIER Jean","27 812","27 812","1 120","0","300","0","26 392","0","0","26 392","A"
"Mlle GABORIT Thérèse","17 187","17 187","0","17 100","0","0","87","0","0","0","A"
"M. HARDOUIN Thierry","3 591
3 553","3 591
3 553","241
241","0
0","0
0","0
0","3 350
3 312","0
0","0","3 312","AR"
"Mme LEPRON Maryse","338","338","0","317","21","0","0","0","0","0","A"
"M. QUINTYN Claude","0","0","0","0","0","0","0","0","0","0","A"
"M. REMAUD Jean-Claude","15 036","15 036","0","0","0","0","15 036","0","0","15 036","A"
"M. SARLOT Joël","14 709","14 709","400","0","625","0","13 684","0","0","0","R"
"Mme SOUYRI Nathalie",,,,,,,,,"0","0","AD"
"Mme TEILLEUX Anne marie","0","0","0","0","0","0","0","0","0","0","A"
"M. TERROIRE Philippe","5 575","5 575","674","4 827","0","0","74","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"636","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Vienne - 1</i>","<i>Département : Vienne </i>",,"<i>er</i>",,,,,
"Plafond de dépenses : 64 412","€",,,,,,,,,,
"Remboursement maximum : 32 207",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mme ANIL Sadiman","35 865
35 587","35 865
35 587","2 815
2 815","0
0","850
850","0
0","32 200
31 922","0
0","0","31 922","AR"
"M. BOUCQUAERT Sebastien","0","0","0","0","0","0","0","0","0","0","A"
"M. CLAEYS Alain","33 352","33 352","7 245","900","651","0","24 556","0","0","24 556","A"
"Mme DAIGRE Jacqueline","50 818
49 304","50 871
49 357","5 780
5 780","9 700
9 700","1 734
1 734","0
0","33 657
32 143","53
53","0","32 090","AR"
"M. EL AROUSSI DIT ROSSI",,,,,,,,,,,
"Patrick","32 832","26 000","0","0","5 000","5 000","16 000","–6832","0","0","HD"
"M. GAILLARD Ludovic","410","410","0","389","21","0","0","0","0","0","A"
"M. GUICHARD Patrick","0","0","0","0","0","0","0","0","0","0","A"
"Mme LARAQUE Josiane","19 393
18 519","32 000
31 126","0
0","0
0","0
0","0
0","32 000
31 126","12 607
12 607","0","0","AR"
"Mme LEGRAND Marie","6 856","7 097","0","7 097","0","0","0","241","0","0","R"
"M. MATHIERE Bertrand","0","0","0","0","0","0","0","0","0","0","A"
"M. MORIN Gilles","1 413
408","1 413
1 323","915
915","0
0","408
408","0
0","90
0","0
915","0","0","AR"
"Mme PINAULT Aline","13 782","13 782","0","0","0","0","13 782","0","0","0","A"
"M. RIONDET Bruno","1 047","1 126","1 080","46","0","0","0","79","79","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,"637"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Vienne - 2</i>","<i>Département : Vienne </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 63 393","€",,,,,,,,,,
"Remboursement maximum : 31 697",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. ADELINE Hubert","329","1 000","0","0","0","0","1 000","671","0","0","A"
"Mme BRARD Laure","0","0","0","0","0","0","0","0","0","0","A"
"M. CHAMARD Jean-Yves","50 044","50 044","5 625","11 400","1 346","0","31 673","0","0","31 673","A"
"Mme COLLEAU Francoise","14 839","14 839","0","482","0","0","14 357","0","0","14 357","A"
"Mme COUTELLE Catherine","31 868
31 833","31 868
31 833","5 020
5 020","3 400
3 400","0
0","0
0","23 448
23 413","0
0","0","23 413","AR"
"Mme DE MASCUREAU Marie","0","0","0","0","0","0","0","0","0","0","A"
"Mme LOURDAUX Christine","395","395","0","374","21","0","0","0","0","0","A"
"Mme POTEAU Francoise","9 727","9 727","0","0","0","0","9 727","0","0","0","A"
"M. ROCHAUD Robert","6 431","7 664","0","7 269","395","0","0","1 233","0","0","R"
"Mme SOUMAILLE Valerie","304","304","0","172","132","0","0","0","0","0","A"
"Mme TILLET Magalie","0","0","0","0","0","0","0","0","0","0","R"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"638","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Vienne - 3</i>","<i>Département : Vienne </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 59 899","€",,,,,,,,,,
"Remboursement maximum : 29 950",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. BRETAUDEAU Jean-Louis","0","0","0","0","0","0","0","0","0","0","A"
"M. BROUARD Michel","28 368","28 368","0","0","0","0","28 368","0","0","28 368","A"
"Mme BRUNET Anne","351","351","0","330","21","0","0","0","0","0","A"
"M. CLEMENT Jean-Michel","39 657
38 473","39 657
38 473","2 795
2 795","900
900","0
0","0
0","35 962
34 778","0
0","0","29 950","AR"
"Mme DARGERE Chantal","0","0","0","0","0","0","0","0","0","0","A"
"Mme DE FONTAINES Brigitte","0","0","0","0","0","0","0","0","0","0","A"
"M. HERBERT Gerard","38 593
38 507","38 593
38 593","2 340
2 340","9 700
9 700","0
0","0
0","26 553
26 553","0
86","0","26 467","AR"
"M. LABESSE Maxime","12 558","12 558","0","0","0","0","12 558","0","0","0","A"
"M. NICOLAS Jacques","4 017","4 125","0","4 125","0","0","0","108","0","0","R"
"Mme ROSSIGNOL Myriam","899","3 473","3 427","0","46","0","0","2 574","2 574","0","A"
"M. SENECHEAU Andre","19 147","20 000","0","0","0","0","20 000","853","0","19 147","A"
"M. TETE Gerard","0","0","0","0","0","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,"639"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Vienne - 4</i>","<i>Département : Vienne </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 62 283","€",,,,,,,,,,
"Remboursement maximum : 31 142",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. ABELIN Jean-Pierre","34 646
32 596","34 646
32 596","6 865
6 865","0
0","4 746
4 746","0
0","23 035
20 985","0
0","0","20 985","AR"
"M. AUDEBERT Eric","23 671","31 700","0","0","0","0","31 700","8 029","0","0","A"
"Mme BACHELIER Francine","662","750","0","0","0","0","750","88","0","0","A"
"Mlle BOURGEOIS Virginie","0","0","0","0","0","0","0","0","0","0","A"
"M. FOUQUENET Pierre-Claude","0","0","0","0","0","0","0","0","0","0","A"
"M. FROMONTEIL Paul","18 938","18 938","0","0","0","0","18 938","0","0","0","A"
"Mme GAILLARD Sylvie","0","0","0","0","0","0","0","0","0","0","A"
"M. GUY Jerome","119","119","0","23","96","0","0","0","0","0","A"
"Mme MASSONNEAU Veronique","3 794","3 913","0","3 701","212","0","0","119","0","0","R"
"Mme TONDUSSON Brigitte","23 498
22 878","23 498
22 878","4 020
4 020","900
900","0
0","0
0","18 578
17 958","0
0","0","17 958","AR"
"Mme VELASQUE Isabelle","0","0","0","0","0","0","0","0","0","0","A"
"M. VILLERET Patrice","435","435","0","414","21","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"640","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Département : Haute-Vienne </i>
<i>Circoncription : Haute-Vienne - 1</i>",,,"<i>er</i>",,,,,
"Plafond de dépenses : 59 632","€",,,,,,,,,,
"Remboursement maximum : 29 817",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. BELEZY Jean-Jacques","11 268
11 557","11 400
11 689","100
100","0
0","0
289","0
0","11 300
11 300","132
132","0","11 168","AR"
"M. BERTHON Nicolas","678","678","0","163","100","0","415","0","0","0","A"
"Mme BOULESTIN Monique","30 465
29 507","32 221
31 263","1 500
1 500","1 824
1 824","884
884","0
0","28 013
27 055","1 756
1 756","0","25 299","AR"
"M. CHARLES Patrick","15 459
11 342","15 459
11 342","7 040
7 040","0
0","0
0","0
0","8 419
4 302","0
0","0","0","AR"
"M. CLEREMBAUX Daniel","29","29","0","15","14","0","0","0","0","0","A"
"Mme DEMAISON Martine","0","0","0","0","0","0","0","0","0","0","A"
"M. DUFOUR Bernard","502","1 750","0","1 750","0","0","0","1 248","1 248","0","A"
"Mlle DUMON Catherine","396","396","0","388","8","0","0","0","0","0","A"
"M. GURSAL Mickael",,,,,,,,,"0","0","AD"
"M. JAUBERTY Yoann","0","0","0","0","0","0","0","0","0","0","A"
"M. MARSAUD Alain","44 987","44 987","500","16 323","0","0","28 164","0","0","28 164","A"
"M. SERVANT Magalie","24 199","28 950","0","0","0","0","28 950","4 751","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,"641"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Département : Haute-Vienne </i>
<i>Circoncription : Haute-Vienne - 2</i>",,,"<i>e</i>",,,,,
"Plafond de dépenses : 60 339","€",,,,,,,,,,
"Remboursement maximum : 30 170",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. ALLARD Pierre","24 764","24 764","7 091","0","432","0","17 241","0","0","17 241","A"
"Mme BARTHELEMY Aline","485","485","0","474","8","0","3","0","0","0","A"
"M. BELIN Christophe","3 080","3 080","0","3 080","0","0","0","0","0","0","A"
"M. BOISSERIE Daniel","37 614
37 485","37 614
37 485","150
150","7 363
7 363","1 073
1 073","0
0","29 028
28 899","0
0","0","28 899","AR"
"M. DHENNIN Jean-Jacques","516","600","0","0","0","0","600","84","0","0","AD"
"M. DORANGE Alain","903","903","0","227","100","0","576","0","0","0","A"
"Mme GUERRY Catherine","29","29","0","15","14","0","0","0","0","0","A"
"Mme GUILHEM Evelyne","54 359","54 931","7 745","12 700","400","0","34 086","572","0","0","R"
"M. LABAT Auguste","0
0","1 572
0","0
0","1 552
0","0
0","0
0","20
0","1 572
0","0","0","AR"
"M. LECHEVALLIER Christophe","9 269
3 800","9 547
4 078","0
0","0
0","0
0","0
0","9 547
4 078","278
278","0","0","AR"
"Mme PUYJALON Liliane","0","0","0","0","0","0","0","0","0","0","A"
"M. RIVIÈRE Jean-Luc","8 945
8 619","8 945
8 619","0
0","0
0","0
0","0
0","8 945
8 619","0
0","0","0","AR"
"M. SIMIER Christian","0","0","0","0","0","0","0","0","0","0","A"
"M. THIBIVILLIERS Frédéric","0","0","0","0","0","0","0","0","0","0","A"
"642","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".",,,,,,,,,,,
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. TILLET David","0","0","0","0","0","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,"643"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Département : Haute-Vienne </i>
<i>Circoncription : Haute-Vienne - 3</i>",,,"<i>e</i>",,,,,
"Plafond de dépenses : 60 344","€",,,,,,,,,,
"Remboursement maximum : 30 172",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mme DACCORD Nicole","10 834","10 834","0","0","0","0","10 834","0","0","0","A"
"M. DAULIAC Francis","9 015
8 383","9 015
8 383","0
0","0
0","0
0","0
0","9 015
8 383","0
0","0","0","AR"
"M. DESENFANT Raymond","0","0","0","0","0","0","0","0","0","0","A"
"Mme EL HAROUAT Driffa","3 080","3 080","0","3 080","0","0","0","0","0","0","A"
"M m e   J E A N N O T - P A G E S",,,,,,,,,,,
"Ghilaine","660","660","0","216","100","0","344","0","0","0","A"
"Mme MARTINEAU Beatrice","32 497
32 457","32 497
32 457","530
530","9 857
9 857","197
197","0
0","21 913
21 873","0
0","0","21 873","AR"
"M. MOURNETAS Daniel","416","416","0","406","10","0","0","0","0","0","A"
"Mme PEROL-DUMONT Marie-",,,,,,,,,,,
"francoise","23 571","23 681","100","1 826","1 155","0","20 600","110","0","20 490","A"
"Mme PERSANT Sylvie","0","0","0","0","0","0","0","0","0","0","A"
"M. POUYET Jean","29","29","0","15","14","0","0","0","0","0","A"
"Mme RIVET Nadine","8 627","8 730","30","0","0","0","8 700","103","0","8 597","A"
"M. TAYANNE Bernard","0","0","0","0","0","0","0","0","0","0","A"
"M. VILLEGER Thierry","2 280","3 196","0","0","0","0","3 196","916","0","0","R"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"644","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Département : Haute-Vienne </i>
<i>Circoncription : Haute-Vienne - 4</i>",,,"<i>e</i>",,,,,
"Plafond de dépenses : 61 684","€",,,,,,,,,,
"Remboursement maximum : 30 842",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. ALAS Jacques","0","0","0","0","0","0","0","0","0","0","A"
"M. BENARD Eric","6 691
6 829","6 900
7 038","0
0","0
0","0
0","0
0","6 900
7 038","209
209","0","6 829","AR"
"M. CIVEYREL Francois","0","0","0","0","0","0","0","0","0","0","A"
"Mme DECAN Francoise","9 426
9 349","9 426
9 349","0
0","0
0","0
0","0
0","9 426
9 349","0
0","0","9 349","AR"
"Mme GENTIL Sarah","28 297","29 211","200","10 858","0","0","18 153","914","0","0","R"
"M. GUIEAU Yves","15 400","15 400","0","0","0","0","15 400","0","0","0","A"
