"Candidat", "Dépenses totales", "Recettes totales", "Dons", "Apports partis", "Concours en nature", "Autres", "Apports personnel", "Soldes compte de campagne", "Dév (1)", "RFE (2)", "Déc. CNCCFP", "Circoncription", "Plafond de dépenses", "Remboursement maximum", "Scrutin"
"M. MORELLE Aquilino","41 531/39 895","41 593/39 957","5 410/5 410","3 334/3 334","849/849","0/0","32 000/30 364","62/62","0","30 302","AR","Seine-Maritime - 6","65 345","32 673 €","Scrutin non contesté"
"M. REGARD Yann","0","0","0","0","0","0","0","0","0","0","A","Seine-Maritime - 6","65 345","32 673 €","Scrutin non contesté"
"Mme TOURNEBOEUF Claude","0","0","0","0","0","0","0","0","0","0","A","Seine-Maritime - 6","65 345","32 673 €","Scrutin non contesté"
"Mme ARGENTIN Myriam","8 300","8 300","0","0","1 828","0","6 472","0","0","0","A","Seine-Maritime - 7","59 671","29 836 €","Scrutin non contesté"
"M. BESSELAT Jean yves","29 372","29 966","18 131","9 700","2 135","0","0","594","594","0","A","Seine-Maritime - 7","59 671","29 836 €","Scrutin non contesté"
"M. DUREL Justin","1 836","1 836","0","0","0","0","1 836","0","0","0","R","Seine-Maritime - 7","59 671","29 836 €","Scrutin non contesté"
"M. FOUCHE SAILLENFESTPhilippe","0","0","0","0","0","0","0","0","0","0","A","Seine-Maritime - 7","59 671","29 836 €","Scrutin non contesté"
"M. LEROUX Francois","449","457","150","301","0","0","6","8","2","0","A","Seine-Maritime - 7","59 671","29 836 €","Scrutin non contesté"
"Mme LEROY Annie","39","39","0","39","0","0","0","0","0","0","A","Seine-Maritime - 7","59 671","29 836 €","Scrutin non contesté"
"M. LOGIOU Laurent","37 626","37 873","1 069","4 944","1 960","0","29 900","247","0","29 653","A","Seine-Maritime - 7","59 671","29 836 €","Scrutin non contesté"
"Mme LONGUET Sylvie","301","301","0","288","13","0","0","0","0","0","A","Seine-Maritime - 7","59 671","29 836 €","Scrutin non contesté"
"M. MADELAINE Stéphane","0","0","0","0","0","0","0","0","0","0","A","Seine-Maritime - 7","59 671","29 836 €","Scrutin non contesté"
"M. MARTINEZ Guy","0","0","0","0","0","0","0","0","0","0","A","Seine-Maritime - 7","59 671","29 836 €","Scrutin non contesté"
"M. MIGRAINE Marc","19 130/18 864","19 130/18 864","0/0","0/0","0/0","0/0","19 130/18 864","0/0","0","18 864","AR","Seine-Maritime - 7","59 671","29 836 €","Scrutin non contesté"
"Mme MOREAU Christine","1 660/1 587","1 660/1 660","180/180","1 480/1 480","0/0","0/0","0/0","0/73","73","0","AR","Seine-Maritime - 7","59 671","29 836 €","Scrutin non contesté"
"M. POIRIER Sylvain","318","325","50","0","275","0","0","7","0","0","R","Seine-Maritime - 7","59 671","29 836 €","Scrutin non contesté"
"Mme VALLIN Francoise","22 441/21 656","22 441/22 441","0/0","100/22 441","0/0","0/0","22 341/0","0/785","785","0","AR","Seine-Maritime - 7","59 671","29 836 €","Scrutin non contesté"
"Mme CAHIERRE Agathe","19 738/19 542","19 750/19 554","4 750/4 750","9 700/9 700","0/0","0/0","5 300/5 104","12/12","0","5 092","AR","Seine-Maritime - 8","60 903","30 452 €","Scrutin non contesté"
"M .   C H A K O U R   D J E L T H I AAbderrahmane",,,,,,,,,"0","0","AD","Seine-Maritime - 8","60 903","30 452 €","Scrutin non contesté"
"Mme CONFAITS Najwa","38 259/37 573","38 279/37 593","4 600/4 600","2 350/2 350","829/829","0/0","30 500/29 814","20/20","0","29 794","AR","Seine-Maritime - 8","60 903","30 452 €","Scrutin non contesté"
"M. DESCHAMPS Jerome","39","39","0","39","0","0","0","0","0","0","A","Seine-Maritime - 8","60 903","30 452 €","Scrutin non contesté"
"M. DONFU Eric","7 077/7 037","7 100/7 060","6 700/6 700","0/0","0/0","0/0","400/360","23/23","0","0","AR","Seine-Maritime - 8","60 903","30 452 €","Scrutin non contesté"
"M. GROSSET Rodolphe","3 080","3 080","0","3 080","0","0","0","0","0","0","A","Seine-Maritime - 8","60 903","30 452 €","Scrutin non contesté"
"M. HOUDOUIN Gilles","277","285","150","135","0","0","0","8","8","0","A","Seine-Maritime - 8","60 903","30 452 €","Scrutin non contesté"
"M. LEFEBVRE LE BRIQUERPatrick","46","46","25","0","0","0","21","0","0","0","A","Seine-Maritime - 8","60 903","30 452 €","Scrutin non contesté"
"M. LEUK Jean denis","13 097/10 075","13 097/10 075","0/0","13 097/10 075","0/0","0/0","0/0","0/0","0","0","AR","Seine-Maritime - 8","60 903","30 452 €","Scrutin non contesté"
"M. PAUL Daniel","38 435/36 089","38 435/36 089","525/525","7 110/7 110","0/0","0/0","30 800/28 454","0/0","0","28 454","AR","Seine-Maritime - 8","60 903","30 452 €","Scrutin non contesté"
"M. PODGUSZER Frederic","282","282","0","269","13","0","0","0","0","0","A","Seine-Maritime - 8","60 903","30 452 €","Scrutin non contesté"
"M. SAINT MARTIN Florent","17 259","17 259","0","0","0","0","17 259","0","0","17 259","A","Seine-Maritime - 8","60 903","30 452 €","Scrutin non contesté"
"Mme SIMON Sylviane","0","0","0","0","0","0","0","0","0","0","A","Seine-Maritime - 8","60 903","30 452 €","Scrutin non contesté"
"M. TOUZÉ Jean francois","19 985/18 984","19 985/18 984","0/0","0/0","0/0","0/0","19 985/18 984","0/0","0","18 984","AR","Seine-Maritime - 8","60 903","30 452 €","Scrutin non contesté"
"M. ALLAIS Frederic","400","400","0","392","8","0","0","0","0","0","A","Seine-Maritime - 9","64 016","32 009 €","Scrutin contesté"
"Mme BENARD-MARIE Andrea","0","0","0","0","0","0","0","0","0","0","A","Seine-Maritime - 9","64 016","32 009 €","Scrutin contesté"
"Mme BLONDEL Veronique","3 065","3 065","0","0","0","0","3 065","0","0","0","A","Seine-Maritime - 9","64 016","32 009 €","Scrutin contesté"
"Mme CARTON Stephanie","0","0","0","0","0","0","0","0","0","0","A","Seine-Maritime - 9","64 016","32 009 €","Scrutin contesté"
"M. DAVEAU Jean charles","884","884","0","0","0","0","884","0","0","0","R","Seine-Maritime - 9","64 016","32 009 €","Scrutin contesté"
"M. DUCHEMIN Daniel","26 255","26 255","1 100","0","0","0","25 155","0","0","25 155","A","Seine-Maritime - 9","64 016","32 009 €","Scrutin contesté"
"M. FESTIN Jairzino",,,,,,,,,"0","0","A","Seine-Maritime - 9","64 016","32 009 €","Scrutin contesté"
"M. FIDELIN Daniel","21 661/21 365","22 517/22 221","3 300/3 300","9 900/9 900","3 017/3 017","0/0","6 300/6 004","856/856","0","5 148","AR","Seine-Maritime - 9","64 016","32 009 €","Scrutin contesté"
"Mme GRELIER Estelle","37 926","37 926","6 064","2 334","920","0","28 608","0","0","28 608","A","Seine-Maritime - 9","64 016","32 009 €","Scrutin contesté"
"M. LECARPENTIER Cedric","0","0","0","0","0","0","0","0","0","0","A","Seine-Maritime - 9","64 016","32 009 €","Scrutin contesté"
"M. RACE Francois","269","285","150","135","0","0","0","16","16","0","A","Seine-Maritime - 9","64 016","32 009 €","Scrutin contesté"
"M. ROBERT Yves","24 288","24 288","0","200","0","0","24 088","0","0","0","A","Seine-Maritime - 9","64 016","32 009 €","Scrutin contesté"
"Mme SBASNIK Pierrette","0","0","0","0","0","0","0","0","0","0","A","Seine-Maritime - 9","64 016","32 009 €","Scrutin contesté"
"M. TEXIER Yves","1 258","1 269","130","764","0","0","375","11","0","0","A","Seine-Maritime - 9","64 016","32 009 €","Scrutin contesté"
"M. VITTRANT Jean","1 709","1 709","0","1 709","0","0","0","0","0","0","A","Seine-Maritime - 9","64 016","32 009 €","Scrutin contesté"
"M. BERNAVILLE Denis","0","0","0","0","0","0","0","0","0","0","A","Seine-Maritime - 10","63 600","31 800 €","Scrutin non contesté"
"Mme CHAUVEL Dominique","35 063/34 639","35 063/34 639","1 510/1 510","2 326/2 326","3 447/3 447","1 160/1 160","26 620/26 196","0/0","0","26 196","AR","Seine-Maritime - 10","63 600","31 800 €","Scrutin non contesté"
"M. DEREGNAUCOURT Aime-rique","48","48","0","15","33","0","0","0","0","0","A","Seine-Maritime - 10","63 600","31 800 €","Scrutin non contesté"
"Mme FLAUX Aline","2 121","2 121","0","0","0","0","2 121","0","0","0","A","Seine-Maritime - 10","63 600","31 800 €","Scrutin non contesté"
"Mme KREIZEL Malka","39","39","0","39","0","0","0","0","0","0","A","Seine-Maritime - 10","63 600","31 800 €","Scrutin non contesté"
"M. LEBRUN Jean","24 683/24 483","25 800/25 600","0/0","100/100","0/0","0/0","25 700/25 500","1 117/1 117","0","0","AR","Seine-Maritime - 10","63 600","31 800 €","Scrutin non contesté"
"M. LEFEBVRE Michel","0","0","0","0","0","0","0","0","0","0","A","Seine-Maritime - 10","63 600","31 800 €","Scrutin non contesté"
"Mme LEGRAND Odile","0","0","0","0","0","0","0","0","0","0","A","Seine-Maritime - 10","63 600","31 800 €","Scrutin non contesté"
"M. LEMAISTRE Gregoire","0","0","0","0","0","0","0","0","0","0","A","Seine-Maritime - 10","63 600","31 800 €","Scrutin non contesté"
"M. ROLLET Jacques","12 819/12 516","15 561/15 258","0/0","0/0","0/0","0/0","15 561/15 258","2 742/2 742","0","12 516","AR","Seine-Maritime - 10","63 600","31 800 €","Scrutin non contesté"
"M. SULKOWSKI Simon","339","339","0","339","0","0","0","0","0","0","A","Seine-Maritime - 10","63 600","31 800 €","Scrutin non contesté"
"M. TRASSY PAILLOGUES Alfred","52 055/51 745","52 419/52 109","10 020/10 020","9 700/9 700","6 699/6 699","0/0","26 000/25 690","364/364","0","25 326","AR","Seine-Maritime - 10","63 600","31 800 €","Scrutin non contesté"
"M. BAZIN Jean","39 985/39 442","39 985/39 442","7 580/7 580","9 700/9 700","2 026/2 026","0/0","20 679/20 136","0/0","0","20 136","AR","Seine-Maritime - 11","62 547","31 274 €","Scrutin non contesté"
"M. BOULAN Jean-Louis","0","0","0","0","0","0","0","0","0","0","A","Seine-Maritime - 11","62 547","31 274 €","Scrutin non contesté"
"M. BOULOCHE Marc","0","0","0","0","0","0","0","0","0","0","A","Seine-Maritime - 11","62 547","31 274 €","Scrutin non contesté"
"M. BRISSET Pascal","56","56","0","15","41","0","0","0","0","0","A","Seine-Maritime - 11","62 547","31 274 €","Scrutin non contesté"
"M. DE COURTIVRON Christian","0","0","0","0","0","0","0","0","0","0","A","Seine-Maritime - 11","62 547","31 274 €","Scrutin non contesté"
"M. DELAPORTE Claude","21 645/21 462","21 645/21 462","0/0","100/100","0/0","0/0","21 545/21 362","0/0","0","0","AR","Seine-Maritime - 11","62 547","31 274 €","Scrutin non contesté"
"M. EUZENAT Gilles","623","623","0","267","0","0","356","0","0","0","A","Seine-Maritime - 11","62 547","31 274 €","Scrutin non contesté"
"Mme HUE Karine",,,,,,,,,"0","0","AD","Seine-Maritime - 11","62 547","31 274 €","Scrutin non contesté"
"Mme HUREL Sandrine","29 882/28 776","29 882/28 776","0/0","2 334/1 228","1 362/1 362","0/0","26 186/26 186","0/0","0","26 186","AR","Seine-Maritime - 11","62 547","31 274 €","Scrutin non contesté"
"M. JUMEL Sébastien","32 220","32 220","4 245","0","0","0","27 975","0","0","27 975","A","Seine-Maritime - 11","62 547","31 274 €","Scrutin non contesté"
"Mme LEFEBVRE Blandine","15 289/15 164","29 231/29 106","380/380","0/0","0/0","0/0","28 851/28 726","13 942/13 942","0","14 784","AR","Seine-Maritime - 11","62 547","31 274 €","Scrutin non contesté"
"M. LEVEAU Édouard","32 261","32 261","1 670","0","999","0","29 592","0","0","0","R","Seine-Maritime - 11","62 547","31 274 €","Scrutin non contesté"
"Mme PETITEVILLE Michelle","429","429","0","425","4","0","0","0","0","0","A","Seine-Maritime - 11","62 547","31 274 €","Scrutin non contesté"
"M. POULLET Olivier","87","87","0","0","0","0","87","0","0","0","A","Seine-Maritime - 11","62 547","31 274 €","Scrutin non contesté"
"M. ARNOUX Eric","12 000","16 000","0","12 000","0","0","4 000","4 000","0","0","R","Seine-Maritime - 12","61 064","30 532 €","Scrutin non contesté"
"Mme BLANCKAERT TILMONTSylvie","36","36","0","15","21","0","0","0","0","0","A","Seine-Maritime - 12","61 064","30 532 €","Scrutin non contesté"
"M. CARTON Franck","0","0","0","0","0","0","0","0","0","0","A","Seine-Maritime - 12","61 064","30 532 €","Scrutin non contesté"
"M. DEPERRAZ Igor","2 527","2 654","0","2 500","4","0","150","127","0","0","A","Seine-Maritime - 12","61 064","30 532 €","Scrutin non contesté"
"Mme DUCELLIER-DESCHAMPSIsabelle","39","39","0","39","0","0","0","0","0","0","A","Seine-Maritime - 12","61 064","30 532 €","Scrutin non contesté"
"Mme FOREST Monique","0","0","0","0","0","0","0","0","0","0","A","Seine-Maritime - 12","61 064","30 532 €","Scrutin non contesté"
"Mme FRAU Christine","0","0","0","0","0","0","0","0","0","0","A","Seine-Maritime - 12","61 064","30 532 €","Scrutin non contesté"
"M. HUVEY Jérôme","0","0","0","0","0","0","0","0","0","0","A","Seine-Maritime - 12","61 064","30 532 €","Scrutin non contesté"
"Mme LE BONHOMME Domi-nique","2 040","2 040","0","1 374","0","0","666","0","0","0","A","Seine-Maritime - 12","61 064","30 532 €","Scrutin non contesté"
"Mlle LE VERN Marie","34 108/33 128","34 779/33 799","145/145","2 248/1 268","162/162","2 224/2 224","30 000/30 000","671/671","0","29 329","AR","Seine-Maritime - 12","61 064","30 532 €","Scrutin non contesté"
"Mme LECONTE Anne-Marie","2 964","2 964","100","0","0","0","2 864","0","0","0","A","Seine-Maritime - 12","61 064","30 532 €","Scrutin non contesté"
"M. LEJEUNE Michel","32 488/32 238","32 488/32 238","330/330","5 700/5 700","0/0","0/0","26 458/26 208","0/0","0","26 208","AR","Seine-Maritime - 12","61 064","30 532 €","Scrutin non contesté"
"Mlle MOREAU Carole","21 966","21 966","0","200","0","0","21 766","0","0","0","A","Seine-Maritime - 12","61 064","30 532 €","Scrutin non contesté"
"M. ROBIN Jean-Luc","416","416","0","410","6","0","0","0","0","0","A","Seine-Maritime - 12","61 064","30 532 €","Scrutin non contesté"
"Mlle BLUTEUX Corinne","3 062","3 660","2 910","490","0","0","260","598","338","0","A","Seine-et-Marne - 1","68 849","34 425 €","Scrutin non contesté"
"M. BRULE Jean-Marc","13 590/12 337","13 590/12 337","0/0","7 519/7 519","0/0","0/0","6 071/4 818","0/0","0","0","AR","Seine-et-Marne - 1","68 849","34 425 €","Scrutin non contesté"
"M. LEBOIS Gaston","0","0","0","0","0","0","0","0","0","0","A","Seine-et-Marne - 1","68 849","34 425 €","Scrutin non contesté"
"Mlle LUQUET Aude","31 973/29 859","32 862/30 748","10 100/10 100","2 000/2 000","842/842","0/0","19 920/17 806","889/889","0","16 917","AR","Seine-et-Marne - 1","68 849","34 425 €","Scrutin non contesté"
"Mme MAGNIEN Pierrette","0","0","0","0","0","0","0","0","0","0","A","Seine-et-Marne - 1","68 849","34 425 €","Scrutin non contesté"
"Mme MÉGRET Catherine","0","0","0","0","0","0","0","0","0","0","R","Seine-et-Marne - 1","68 849","34 425 €","Scrutin non contesté"
"M. MIGNON Jean-Claude","24 174","24 174","9 735","12 100","1 254","0","1 085","0","0","1 085","A","Seine-et-Marne - 1","68 849","34 425 €","Scrutin non contesté"
"Mme PICHERY Marie-Line","27 778/23 758","28 480/24 455","780/780","900/900","0/0","0/0","26 800/22 775","702/697","0","22 078","AR","Seine-et-Marne - 1","68 849","34 425 €","Scrutin non contesté"
"M. RICHARD Jean-Michel","15","15","0","15","0","0","0","0","0","0","A","Seine-et-Marne - 1","68 849","34 425 €","Scrutin non contesté"
"Mlle VAN CAUTEREN Catherine","549","549","0","535","14","0","0","0","0","0","A","Seine-et-Marne - 1","68 849","34 425 €","Scrutin non contesté"
"M. ZANIFE Dawé","0","0","0","0","0","0","0","0","0","0","A","Seine-et-Marne - 1","68 849","34 425 €","Scrutin non contesté"
"Mlle BAUDRILLART Valérie","0","0","0","0","0","0","0","0","0","0","A","Seine-et-Marne - 2","64 597","32 299 €","Scrutin non contesté"
"M. CHAMAYOU Jean-Pierre","0","0","0","0","0","0","0","0","0","0","A","Seine-et-Marne - 2","64 597","32 299 €","Scrutin non contesté"
"Mme DAUPIAS Francine","3 020","4 605","115","490","0","0","4 000","1 585","0","0","A","Seine-et-Marne - 2","64 597","32 299 €","Scrutin non contesté"
"Mme D’HERBAIS Marie","2 998/2 563","30 920/30 485","0/0","0/0","770/770","0/0","30 150/29 715","27 922/27 922","0","0","AR","Seine-et-Marne - 2","64 597","32 299 €","Scrutin non contesté"
"M. FERARD Jérome","15","15","0","15","0","0","0","0","0","0","A","Seine-et-Marne - 2","64 597","32 299 €","Scrutin non contesté"
"Mme GEFFROY Marie-Lise","0","0","0","0","0","0","0","0","0","0","A","Seine-et-Marne - 2","64 597","32 299 €","Scrutin non contesté"
"Mme GOUELLE Géraldine","440","440","0","429","11","0","0","0","0","0","A","Seine-et-Marne - 2","64 597","32 299 €","Scrutin non contesté"
"M. NAPOLÉON Charles","63 398/62 445","63 604/62 651","5 250/5 250","2 000/2 000","0/0","0/0","56 354/55 401","206/206","0","32 299","AR","Seine-et-Marne - 2","64 597","32 299 €","Scrutin non contesté"
"Mme PAYS Liliane","1 280","1 280","0","120","0","0","1 160","0","0","0","A","Seine-et-Marne - 2","64 597","32 299 €","Scrutin non contesté"
"Mme SANGUINETTI Dominique","0","0","0","0","0","0","0","0","0","0","R","Seine-et-Marne - 2","64 597","32 299 €","Scrutin non contesté"
"Mme TOUCHARD Nelly","23 740","23 740","275","900","565","0","22 000","0","0","22 000","A","Seine-et-Marne - 2","64 597","32 299 €","Scrutin non contesté"
"M. VALLETOUX Fréderic","40 369/40 688","40 369/40 688","16 200/16 200","0/0","0/0","0/0","24 169/24 488","0/0","0","24 488","AR","Seine-et-Marne - 2","64 597","32 299 €","Scrutin non contesté"
"M. AUCOUTURIER Alain","46","100","100","0","0","0","0","54","54","0","A","Seine-et-Marne - 3","65 815","32 908 €","Scrutin non contesté"
"M. CARASSUS Pierre","9 417/8 869","9 417/8 869","2 570/2 570","0/0","50/50","0/0","6 797/6 249","0/0","0","6 249","AR","Seine-et-Marne - 3","65 815","32 908 €","Scrutin non contesté"
"Mme CATY Solange","0","0","0","0","0","0","0","0","0","0","A","Seine-et-Marne - 3","65 815","32 908 €","Scrutin non contesté"
"M. GUERRIER Jean-Louis","525","525","0","518","7","0","0","0","0","0","A","Seine-et-Marne - 3","65 815","32 908 €","Scrutin non contesté"
"M. JALKH Jean-François","26 727/25 521","36 100/34 894","0/0","100/100","9 000/9 000","0/0","27 000/25 794","9 373/9 373","0","0","AR","Seine-et-Marne - 3","65 815","32 908 €","Scrutin non contesté"
"M. JÉGO Yves","46 392/44 623","48 622/46 853","14 930/14 930","22 700/22 700","0/0","0/0","10 992/9 223","2 230/2 230","0","6 993","AR","Seine-et-Marne - 3","65 815","32 908 €","Scrutin non contesté"
"Mlle JOGUET Carole","0","0","0","0","0","0","0","0","0","0","A","Seine-et-Marne - 3","65 815","32 908 €","Scrutin non contesté"
"Mme LIPIETZ Hélène","1 048","1 048","0","120","0","0","928","0","0","0","A","Seine-et-Marne - 3","65 815","32 908 €","Scrutin non contesté"
"M. NAÏR Sami","31 755/31 693","31 755/31 693","320/320","0/0","896/896","0/0","30 539/30 477","0/0","0","30 477","AR","Seine-et-Marne - 3","65 815","32 908 €","Scrutin non contesté"
"M. POCHON Thierry","0","0","0","0","0","0","0","0","0","0","A","Seine-et-Marne - 3","65 815","32 908 €","Scrutin non contesté"
"M. SEPTIERS Patrick","27 169/26 115","27 608/26 554","9 600/9 600","2 000/2 000","755/755","3/3","15 250/14 196","439/439","0","13 757","AR","Seine-et-Marne - 3","65 815","32 908 €","Scrutin non contesté"
"Mlle SICRE Annie","15","15","0","15","0","0","0","0","0","0","A","Seine-et-Marne - 3","65 815","32 908 €","Scrutin non contesté"
"M. ABERLEN Pascal","30 655","30 700","0","0","0","0","30 700","45","0","30 655","A","Seine-et-Marne - 4","64 899","32 450 €","Scrutin non contesté"
"Mme ANAZONWU Armelle","0","0","0","0","0","0","0","0","0","0","A","Seine-et-Marne - 4","64 899","32 450 €","Scrutin non contesté"
"M. BENOIT Jacques","20 230","20 552","160","2 000","1 027","0","17 365","322","0","17 043","A","Seine-et-Marne - 4","64 899","32 450 €","Scrutin non contesté"
"M. COLLET Albert","0","0","0","0","0","0","0","0","0","0","A","Seine-et-Marne - 4","64 899","32 450 €","Scrutin non contesté"
"M. FERRARI Stéphane","1 367","1 367","0","335","0","0","1 032","0","0","0","A","Seine-et-Marne - 4","64 899","32 450 €","Scrutin non contesté"
"M. FRANCESCHINA Serge","499","499","0","495","4","0","0","0","0","0","A","Seine-et-Marne - 4","64 899","32 450 €","Scrutin non contesté"
"M. JACOB Christian","30 436/30 362","48 094/48 044","26 620/26 570","19 700/19 700","1 774/1 774","0/0","0/0","17 658/17 682","17 682","0","AR","Seine-et-Marne - 4","64 899","32 450 €","Scrutin non contesté"
"Mme JÉROME Simone","4 837","4 837","3 006","827","0","0","1 004","0","0","0","A","Seine-et-Marne - 4","64 899","32 450 €","Scrutin non contesté"
"M. LANDRY Alain","0","0","0","0","0","0","0","0","0","0","A","Seine-et-Marne - 4","64 899","32 450 €","Scrutin non contesté"
"M. ROSSIERE-ROLLIN Serge","31 331/30 978","35 492/35 139","0/0","900/900","29/29","0/0","34 563/34 210","4 161/4 161","0","30 049","AR","Seine-et-Marne - 4","64 899","32 450 €","Scrutin non contesté"
"Mme THIANT Nadine","15","15","0","15","0","0","0","0","0","0","A","Seine-et-Marne - 4","64 899","32 450 €","Scrutin non contesté"
"Mlle VAN KEMPEN Marie-Christine","0","0","0","0","0","0","0","0","0","0","A","Seine-et-Marne - 4","64 899","32 450 €","Scrutin non contesté"
"Mlle ARZEL Nolwenn","15","15","0","15","0","0","0","0","0","0","A","Seine-et-Marne - 5","67 469","33 735 €","Scrutin contesté"
"M. BRUNEAU Alain","32 335/32 315","32 400/32 380","0/0","0/0","0/0","0/0","32 400/32 380","65/65","0","32 315","AR","Seine-et-Marne - 5","67 469","33 735 €","Scrutin contesté"
"Mme CARREZ Danièle","224/250","0/250","0/0","0/0","0/0","0/0","0/250","–224/0","0","0","AR","Seine-et-Marne - 5","67 469","33 735 €","Scrutin contesté"
"Mme CHARLIER Joëlle","5 530","5 530","1 408","3 972","0","0","150","0","0","0","A","Seine-et-Marne - 5","67 469","33 735 €","Scrutin contesté"
"M. GARBELL Camille","0","0","0","0","0","0","0","0","0","0","A","Seine-et-Marne - 5","67 469","33 735 €","Scrutin contesté"
"M. GLOESS Jean-François","117","117","87","0","30","0","0","0","0","0","A","Seine-et-Marne - 5","67 469","33 735 €","Scrutin contesté"
"M. LEFEVRE René","0","0","0","0","0","0","0","0","0","0","A","Seine-et-Marne - 5","67 469","33 735 €","Scrutin contesté"
"M. MAUREL Franck","568","568","0","561","7","0","0","0","0","0","A","Seine-et-Marne - 5","67 469","33 735 €","Scrutin contesté"
"Mme MOLLET-LIDY Josy","5 327/5 084","13 000/12 757","0/0","0/0","0/0","0/0","13 000/12 757","7 673/7 673","0","5 084","AR","Seine-et-Marne - 5","67 469","33 735 €","Scrutin contesté"
"M. PATRON Jacky","0","0","0","0","0","0","0","0","0","0","A","Seine-et-Marne - 5","67 469","33 735 €","Scrutin contesté"
"Mme RICHARD Marie","40 152/42 544","54 891/54 073","7 550/7 550","2 400/2 400","2 441/2 408","0/0","42 500/41 715","14 739/11 529","0","30 186","AR","Seine-et-Marne - 5","67 469","33 735 €","Scrutin contesté"
"M. RIESTER Franck","53 393/52 168","58 622/57 397","19 561/19 561","19 700/19 700","3 725/3 725","0/0","15 636/14 411","5 229/5 229","0","9 182","AR","Seine-et-Marne - 5","67 469","33 735 €","Scrutin contesté"
"M. YATES Russell","2 350","2 350","0","1 350","0","0","1 000","0","0","0","A","Seine-et-Marne - 5","67 469","33 735 €","Scrutin contesté"
"M. TREGOAT Yvon","1 423","1 423","0","335","0","0","1 088","0","0","0","A","Seine-et-Marne - 5","67 469","33 735 €","Scrutin contesté"
"Mme ARNAUTU Marie-Christine","23 052","23 052","0","0","0","0","23 052","0","0","23 052","A","Seine-et-Marne - 6","67 099","33 550 €","Scrutin non contesté"
"M. BONTOUX Jean-Pierre","21 557","21 557","3 335","0","0","0","18 222","0","0","18 222","A","Seine-et-Marne - 6","67 099","33 550 €","Scrutin non contesté"
"M. COPE Jean-François","40 572","41 331","23 150","16 001","2 180","0","0","759","759","0","A","Seine-et-Marne - 6","67 099","33 550 €","Scrutin non contesté"
"M. FISCHER Olivier","0","0","0","0","0","0","0","0","0","0","A","Seine-et-Marne - 6","67 099","33 550 €","Scrutin non contesté"
"M. GEORGES Jean-Marc","255","255","0","255","0","0","0","0","0","0","A","Seine-et-Marne - 6","67 099","33 550 €","Scrutin non contesté"
"M. HARLE Eric","0","0","0","0","0","0","0","0","0","0","A","Seine-et-Marne - 6","67 099","33 550 €","Scrutin non contesté"
"M. MARTIN Georges eugène","1 196","1 250","0","0","0","0","1 250","54","0","0","A","Seine-et-Marne - 6","67 099","33 550 €","Scrutin non contesté"
"M. MILLOT Georges","444","444","0","437","7","0","0","0","0","0","A","Seine-et-Marne - 6","67 099","33 550 €","Scrutin non contesté"
"M. MULLER Alain","0/0","95/0","0/0","0/0","0/0","0/0","95/0","95/0","0","0","AR","Seine-et-Marne - 6","67 099","33 550 €","Scrutin non contesté"
"Mme NOUVION Julie","1 051","1 051","0","102","0","0","949","0","0","0","A","Seine-et-Marne - 6","67 099","33 550 €","Scrutin non contesté"
"M. OUDIN Jacques","0","0","0","0","0","0","0","0","0","0","A","Seine-et-Marne - 6","67 099","33 550 €","Scrutin non contesté"
"Mme PAPIN Monique","40 904/39 332","42 503/40 931","2 440/2 440","2 900/2 900","191/191","0/0","36 972/35 400","1 599/1 599","0","33 550","AR","Seine-et-Marne - 6","67 099","33 550 €","Scrutin non contesté"
"M. PERAN Yannick","16 271","16 271","30","2 000","0","0","14 241","0","0","14 241","A","Seine-et-Marne - 6","67 099","33 550 €","Scrutin non contesté"
"M. ALBARELLO Yves","40 517","62 375","8 675","19 700","0","0","34 000","21 858","0","12 142","A","Seine-et-Marne - 7","68 578","34 290 €","Scrutin non contesté"
"Mme ANGELI Sylvie","11 569","11 569","0","0","0","0","11 569","0","0","11 569","A","Seine-et-Marne - 7","68 578","34 290 €","Scrutin non contesté"
"M. BEUNECHE Jacques","577","577","0","566","11","0","0","0","0","0","A","Seine-et-Marne - 7","68 578","34 290 €","Scrutin non contesté"
"M. BREHIER Emeric","27 601","36 965","4 375","1 332","141","0","31 117","9 364","0","21 753","A","Seine-et-Marne - 7","68 578","34 290 €","Scrutin non contesté"
"Mme DESSERRE Marie-Agnès","0","0","0","0","0","0","0","0","0","0","A","Seine-et-Marne - 7","68 578","34 290 €","Scrutin non contesté"
"M. FERRAND Jean-Marc","6 594","6 691","1 545","646","0","0","4 500","97","0","0","A","Seine-et-Marne - 7","68 578","34 290 €","Scrutin non contesté"
"Mme GIAMMERTINI Simone","0","0","0","0","0","0","0","0","0","0","A","Seine-et-Marne - 7","68 578","34 290 €","Scrutin non contesté"
"Mme GILBERT Cécile","1 242/1 242","1 242/1 242","0/0","144/1 242","0/0","0/0","1 098/0","0/0","0","0","AR","Seine-et-Marne - 7","68 578","34 290 €","Scrutin non contesté"
"M. JALLAS Thierry","690","690","240","400","50","0","0","0","0","0","A","Seine-et-Marne - 7","68 578","34 290 €","Scrutin non contesté"
"Mme JOUANNEAU Catherine","483","1 050","1 050","0","0","0","0","567","567","0","A","Seine-et-Marne - 7","68 578","34 290 €","Scrutin non contesté"
"M. SANCHEZ Julien","21 087","21 087","0","0","300","0","20 787","0","0","20 787","A","Seine-et-Marne - 7","68 578","34 290 €","Scrutin non contesté"
